fen,cp
rnbqk1nr/ppp2ppp/4p3/3p4/1b1PP3/2N5/PPP2PPP/R1BQKBNR w KQkq -,59.0
2Q5/1p4q1/p7/4k1p1/P3b3/7P/5PP1/6K1 w - -,4466.0
r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/5N1P/PPPP1PP1/RNBQKB1R w KQkq -,16.0
rnbqkb1r/pp3ppp/3ppn2/6N1/2BpP3/8/PPP2PPP/RNBQK2R w KQkq -,-67.0
rnbqk2r/ppp1ppbp/3p1np1/8/2PPP3/2N5/PP2BPPP/R1BQK1NR b KQkq -,13.0
r1bqkbnr/pp3ppp/2n1p3/2pp4/3PP3/2P2N2/PP3PPP/RNBQKB1R w KQkq -,16.0
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq -,13.0
1r2k2r/p1pp1ppp/1p6/2bQPP2/8/2Pp1P1q/PP1P3P/RNB3RK b k -,-164.0
rnbqk2r/pp2ppbp/3p1np1/2P5/2P1P3/2N5/PP2BPPP/R1BQK1NR b KQkq -,87.0
8/1b1Q1ppk/p3p2p/1p1q4/3Ppb2/1P2B1P1/P6P/2R3K1 w - -,-835.0
rnbqkbnr/pppppp1p/6p1/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -,71.0
rnbqk1nr/ppp2ppp/4p3/3pP3/1b1P4/2N5/PPP2PPP/R1BQKBNR b KQkq -,44.0
rnbqkbnr/pppp1ppp/4p3/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq -,45.0
r1bqk2r/ppppbppp/2nn4/1B2N3/8/8/PPPP1PPP/RNBQR1K1 w kq -,27.0
8/p7/8/8/2K5/5k2/2P5/8 w - -,22.0
8/p7/8/8/3K4/5k2/2P5/8 b - -,21.0
rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq -,20.0
rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -,0.0
r1bqkbnr/1ppp1ppp/p1n5/4p3/B3P3/5N2/PPPP1PPP/RNBQK2R b KQkq -,31.0
r1bqkbnr/pp1p1ppp/2n5/1Bp1p3/4P3/5N2/PPPP1PPP/RNBQ1RK1 b kq -,43.0
8/1bRQ1ppk/p3p2p/1p1q4/3Pp3/1P2b1P1/P6P/6K1 w - -,-905.0
r1bqk1nr/pp1p1pbp/2n1p1p1/2p5/2P1P3/3P1N1P/PP3PP1/RNBQKB1R w KQkq -,-56.0
rnbqkbnr/p4ppp/2p1p3/1p6/P1pPP3/2N2N2/1P3PPP/R1BQKB1R b KQkq -,0.0
r1bqk1nr/pp1p1pbp/2n1p1p1/2p5/2P1P3/2NP1N1P/PP3PP1/R1BQKB1R b KQkq -,-58.0
rnbqk1nr/pp3ppp/4p3/2ppP3/3P4/P1P5/2P2PPP/R1BQKBNR b KQkq -,47.0
rBbqk2r/pp3ppp/5n2/8/1bpP4/8/PP2B1PP/RN1Q1KNR b kq -,-230.0
8/p7/8/8/1K6/4k3/2P5/8 w - -,20.0
rnb1kbnr/ppp1pppp/8/3q2N1/4p3/3P4/PPP2PPP/RNBQKB1R b KQkq -,-17.0
rnb1k1nr/pppp1ppp/8/4P3/4P2q/8/PPPP2PP/RNBQKBR1 w Qkq -,0.0
rnbqk1nr/pp2ppbp/3p2p1/2p3B1/2PP4/5N2/PP2PPPP/RN1QKB1R w KQkq -,0.0
8/p7/8/8/1KPk4/8/8/8 w - -,19.0
r1bqk1nr/pp1p1pbp/2n1p1p1/2p5/2P1P3/P2P1N1P/1P3PP1/RNBQKB1R b KQkq -,-94.0
r1bqkbnr/pppp1ppp/2n5/8/2B1P3/5N2/PB3PPP/RN1QK2R b KQkq -,0.0
rnb1k1nr/ppq2ppp/4p3/2ppP3/3P4/P1P5/2P2PPP/R1BQKBNR w KQkq -,47.0
rnbqk1nr/ppp1ppbp/3p2p1/6B1/2PP4/5N2/PP2PPPP/RN1QKB1R b KQkq -,-3.0
rn1q1r1k/pp3p1p/2p5/3p3P/5Q2/2NP2R1/PPP3P1/4R1K1 w - -,5.0
r1bqkbnr/1pp2ppp/p1p5/4p3/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq -,0.0
rn1q2rk/pp3p1p/2p4Q/3p3P/8/2NP2R1/PPP3P1/4R1K1 w - -,4.0
rnbqk1nr/p4ppp/2p1p3/1p6/PbpPP3/2N2N2/1P3PPP/R1BQKB1R w KQkq -,0.0
r1bqkbnr/pp2pppp/2np4/2p5/8/5NP1/PPPPPPBP/RNBQK2R w KQkq -,62.0
r1b1kbnr/1pp2ppp/p1p5/4N3/3qP3/8/PPPP1PPP/RNBQK2R w KQkq -,-67.0
rnbqkbnr/pppppppp/8/8/1P6/8/P1PPPPPP/RNBQKBNR b KQkq -,-28.0
r1bqk2r/1pp1bppp/p1np1n2/4p3/B3P3/2P2N2/PP1P1PPP/RNBQ1RK1 w kq -,58.0
r1bqk1nr/pppp1ppp/2n5/8/1bB1P3/5N2/PB3PPP/RN1QK2R w KQkq -,-23.0
rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -,24.0
rnb1k1nr/ppq2ppp/4p3/2ppP3/3P3P/P1P5/2P2PP1/R1BQKBNR b KQkq -,46.0
r1bqkb1r/pppp1ppp/2n2n2/4p1N1/2B1P3/8/PPPP1PPP/RNBQK2R b KQkq -,0.0
rnbqkbnr/ppp2ppp/3p4/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq -,44.0
2rq1rk1/pp1bppbp/2np1np1/8/2P1P3/2N1B3/PPN1BPPP/2RQ1RK1 b - -,83.0
rnb1kbnr/ppp1pppp/8/3q2N1/8/3B4/PPP2PPP/RNBQK2R b KQkq -,-85.0
rnbqkb1r/pppp1ppp/5n2/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq -,25.0
r5k1/ppp2p1p/6pB/4n2n/3bP2q/2NB1p1P/PPP3PK/R2Q1R2 w - -,-562.0
r1bqkb1r/ppp2ppp/2n1p3/3n4/3P4/5N2/PPP1BPPP/RNBQ1RK1 b kq -,69.0
rBbqk2r/pp3ppp/8/3n4/1bpP4/8/PP2B1PP/RN1Q1KNR w kq -,-194.0
r1bqkbnr/pp3ppp/2n1p3/3pP3/3p4/2P2N2/PP3PPP/RNBQKB1R w KQkq -,36.0
r1bqk2r/1pppbppp/p1n2n2/4p3/B3P3/5N2/PPPP1PPP/RNBQ1RK1 w kq -,19.0
