fen,cp
r1bqk2r/2p1bppp/p2p1n2/1p2p3/3nP3/1B3N2/PPP2PPP/RNBQR1K1 w kq -,-50.0
r2qkb1r/pp1n1ppp/3ppn2/2p5/4P3/5N2/PPPP1PPP/RNBQR1K1 w kq -,14.0
rnbqk2r/ppp1bppp/4pn2/6B1/3PN3/8/PPP2PPP/R2QKBNR w KQkq -,17.0
rnbqkbnr/p1pp1ppp/1p2p3/8/4P3/3P1N2/PPP2PPP/RNBQKB1R b KQkq -,17.0
4K3/4P1k1/8/8/8/8/1r6/5R2 b - -,25.0
1r2K3/4P1k1/8/8/8/8/8/5R2 w - -,23.0
rnbqkbnr/ppp2ppp/3pp3/4P3/8/8/PPPP1PPP/RNBQKBNR w KQkq -,-22.0
rnbq1rk1/ppp1bppp/3p1n2/3Pp3/4P3/2N2P2/PPP3PP/R1BQKBNR w KQ -,14.0
rnbqk2r/ppp1ppbp/3p1np1/8/2P1P3/2N2NP1/PP1P1P1P/R1BQKB1R b KQkq -,-17.0
rnbqkbnr/pppppp1p/6p1/8/2P5/5N2/PP1PPPPP/RNBQKB1R b KQkq -,20.0
rnbqkbnr/pp3ppp/3pp3/8/8/8/PPPP1PPP/RNBQKBNR w KQkq -,0.0
r1bqk2r/2p1bppp/p2p1n2/1p6/3pP3/1B6/PPP2PPP/RNBQR1K1 w kq -,-47.0
1r6/4P1k1/3K4/8/8/8/8/5R2 w - -,23.0
r1bqkb1r/pppppppp/2n2n2/8/2PP4/4P3/PP3PPP/RNBQKBNR b KQkq -,47.0
q5k1/5pp1/8/1pb1P3/2p5/2P3p1/1P1N1P2/5RK1 b - -,-10.0
rnb1kbnr/pp3ppp/4p3/2pq4/3P4/4P3/PP3PPP/RNBQKBNR w KQkq -,25.0
r1bqk2r/4bppp/p2p1n2/1pp5/3QP3/1B6/PPP2PPP/RNB1R1K1 w kq -,-317.0
rnbqkbnr/pppppppp/8/8/8/2P5/PP1PPPPP/RNBQKBNR b KQkq -,0.0
rnbqkbnr/ppp2ppp/8/4N3/4p3/8/PPPPQPPP/RNB1KB1R b KQkq -,0.0
4r3/3KP1k1/8/8/8/8/8/R7 b - -,13.0
r1b1kb1r/ppppqNp1/2n2n1p/4p3/2B1P3/8/PPPP1PPP/RNBQK2R w KQkq -,853.0
7Q/2nk1p1p/6p1/3n4/8/8/5PPP/6K1 b - -,537.0
rnbq1rk1/pp2ppbp/3p1np1/2p5/3P1B2/2P1PN1P/PP2BPP1/RN1QK2R b KQ -,-7.0
rnbqkb1r/ppppp2p/5np1/5p2/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq -,68.0
rnbq1rk1/pp2ppbp/3p1np1/2p5/3PPP2/3B1N2/PPP3PP/RNBQ1RK1 w - -,94.0
rnbqkbnr/pp3ppp/4p3/2pP4/3P4/4P3/PP3PPP/RNBQKBNR b KQkq -,21.0
rnbqkbnr/ppp1pppp/3p4/8/8/2P5/PP1PPPPP/RNBQKBNR w KQkq -,24.0
rn2kb1r/ppp1pppp/5n2/q4b2/3P1B2/2N5/PPP2PPP/R2QKBNR w KQkq -,50.0
rnbqkb1r/1p3ppp/p2ppn2/8/3NP3/3B4/PPP1QPPP/RNB2RK1 b kq -,44.0
rnbqk2r/ppp1bppp/4pN2/6B1/3P4/8/PPP2PPP/R2QKBNR b KQkq -,26.0
rnbqkbnr/pp2pppp/8/2pp4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq -,67.0
rnbq1rk1/ppppbppp/8/3nP3/5Q2/8/PPPP1PPP/RNB1KBNR w KQ -,0.0
3k4/8/8/1KP5/8/8/8/8 w - -,13.0
rnbqk1nr/ppppbppp/8/8/4Pp2/5N2/PPPP2PP/RNBQKB1R w KQkq -,-26.0
rnbqkb1r/pppppppp/5n2/8/2B1P3/8/PPPP1PPP/RNBQK1NR b KQkq -,-76.0
rnbq1rk1/p2p1ppp/4pn2/1ppP4/1bP5/2NBP3/PP3PPP/R1BQK1NR w KQ -,0.0
r1bqkbnr/pp1pppp1/2n4p/2p5/4P3/2NP1N2/PPP2PPP/R1BQKB1R b KQkq -,18.0
rnb1k2r/pp1ppp1p/5np1/q1P5/1Q2P3/2P5/P1P2PPP/R1B1KBNR b KQkq -,111.0
r1bqkb1r/pppppppp/2n2n2/8/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq -,63.0
r1bqkb1r/pppp1ppp/2n5/1n2P3/2P5/5N2/PP3PPP/RNBQ1RK1 b kq -,-55.0
rnbqkbnr/pp3ppp/3pp3/8/3NP3/8/PPP2PPP/RNBQKB1R w KQkq -,44.0
rnbqkb1r/pppp1ppp/4pn2/8/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq -,19.0
3R4/pp3pkp/2p1rpq1/5b2/8/2Q3N1/PPP3PP/6K1 w - -,1429.0
rnbqk2r/ppp2ppp/5n2/3p4/3P4/P1P1P3/5PPP/R1BQKBNR b KQkq -,35.0
r1bqkb1r/1p3ppp/p2ppn2/2n5/3NPP2/1BN5/PPP3PP/R1BQK2R w KQkq -,0.0
rnbqk1nr/pp1pppbp/6p1/2p5/1P2P3/2P2N2/P2P1PPP/RNBQKB1R b KQkq -,-70.0
rnb1k2r/ppqppp1p/5np1/2P5/1Q2P3/2P5/P1P2PPP/R1B1KBNR w KQkq -,121.0
rnbqkb1r/pppppppp/8/8/2B1n3/8/PPPP1PPP/RNBQK1NR w KQkq -,-116.0
8/8/8/2Qrk3/8/2K5/8/8 w - -,15414.0
r1bqkbnr/1p1p1ppp/p1n1p3/8/3NP3/2N5/PPP1BPPP/R1BQK2R b KQkq -,36.0
r1bqkbnr/pp2pppp/2n5/2pp4/2PP4/4PN2/PP3PPP/RNBQKB1R b KQkq -,13.0
rnbqkb1r/pp1ppppp/5n2/2pP4/5B2/8/PPP1PPPP/RN1QKBNR b KQkq -,18.0
rnbqk2r/ppppp1bp/5np1/5p2/2PP4/2N2NP1/PP2PP1P/R1BQKB1R b KQkq -,64.0
rnbqkb1r/pppppBpp/8/8/4n3/8/PPPP1PPP/RNBQK1NR b KQkq -,-71.0
8/8/3k4/5r2/2K5/4Q3/8/8 w - -,6159.0
r2qk2r/2p1bppp/p1np1n2/1p2p3/3PP1b1/1BP2N2/PP3PPP/RNBQR1K1 b kq -,0.0
r1bqkb1r/pppp1ppp/2n5/1n2P1B1/8/5N2/PPP2PPP/RN1Q1RK1 b kq -,-13.0
rnbq1b1r/pppppkpp/8/8/4n3/8/PPPP1PPP/RNBQK1NR w KQ -,-83.0
r1bq1rk1/pp2ppbp/2np2p1/3n4/3P1B2/2P2N1P/PP2BPP1/RN1Q1RK1 w - -,28.0
4R3/4K1k1/4P3/8/8/8/8/r7 w - -,0.0
rnbq1b1r/pppppkpp/8/7Q/4n3/8/PPPP1PPP/RNB1K1NR b KQ -,-97.0
r1b1kb1r/1pqp1ppp/p1n1pn2/8/3NP3/2N5/PPP1BPPP/R1BQ1RK1 w kq -,28.0
rnbq1bkr/ppppp1pp/8/7Q/4n3/8/PPPP1PPP/RNB1K1NR w KQ -,-95.0
r1bqkbnr/pp3ppp/2n5/4p3/2pN4/2N1P3/PP3PPP/R1BQKB1R w KQkq -,44.0
rnbq1bkr/ppppp1pp/8/3Q4/4n3/8/PPPP1PPP/RNB1K1NR b KQ -,-89.0
r7/4K1k1/2R1P3/8/8/8/8/8 w - -,0.0
rnbqk2r/ppp2ppp/4pb2/6B1/3P4/8/PPP2PPP/R2QKBNR w KQkq -,26.0
r1bqkb1r/pppp2pp/2n2p2/1n2P1B1/8/5N2/PPP2PPP/RN1Q1RK1 w kq -,-31.0
r1bqk2r/ppp2ppp/2p5/4P3/1b2n3/3P4/PPP2PPP/RNBQKB1R w KQkq -,355.0
rnbq1bkr/pppp2pp/4p3/3Q4/4n3/8/PPPP1PPP/RNB1K1NR w KQ -,-113.0
5Q2/R4p2/1k1bqP2/3p4/3P1p2/2p4P/2P3P1/7K w - -,689.0
rnbq1rk1/ppppp1bp/5np1/5p2/2PP4/2N2NP1/PP2PPBP/R1BQK2R b KQ -,51.0
r2qkbnr/pp1n1ppp/3pp3/2p5/4P3/5N2/PPPP1PPP/RNBQR1K1 b kq -,0.0
rnbq1bkr/pppp2pp/4p3/8/4Q3/8/PPPP1PPP/RNB1K1NR b KQ -,-91.0
rnbqkb1r/1p3ppp/p2p1n2/4p3/3NP3/2N2P2/PPP3PP/R1BQKB1R w KQkq -,29.0
rnbqk2r/pp1pppbp/5np1/2pP2B1/2P5/8/PP2PPPP/RN1QKBNR w KQkq -,71.0
rnbqkb1r/1p1p1ppp/p3pn2/8/2PNP3/2N5/PP3PPP/R1BQKB1R b KQkq -,37.0
rnbqkbnr/pp3ppp/3pp3/8/3P4/8/PPP2PPP/RNBQKBNR b KQkq -,0.0
rnbqkbnr/pp2pppp/3p4/2p5/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq -,0.0
rnbq1bkr/ppp3pp/4p3/3p4/4Q3/8/PPPP1PPP/RNB1K1NR w KQ -,-85.0
r1bqk2r/pppp1ppp/2n2n2/1Bb1p3/3PP3/2P2N2/PP3PPP/RNBQK2R b KQkq -,64.0
8/8/4k3/4r3/3K1Q2/8/8/8 b - -,944.0
rnbq1bkr/ppp3pp/4p3/3p4/8/4Q3/PPPP1PPP/RNB1K1NR b KQ -,-94.0
r1bq1rk1/pppnn1bp/3p2p1/3Ppp2/2P1P3/2NN4/PP2BPPP/R1BQ1RK1 w - -,71.0
rnbqkb1r/ppp2ppp/3p1n2/4p3/2P1P3/2N2N2/PP1P1PPP/R1BQKB1R b KQkq -,0.0
8/4k3/2K5/2P5/8/8/8/8 w - -,12.0
rnbqkb1r/pp2pppp/3p1n2/2p5/4P3/2PB1N2/PP1P1PPP/RNBQK2R b KQkq -,-8.0
r1bqk2r/pppp1ppp/2n2n2/1Bb5/3pP3/2P2N2/PP3PPP/RNBQK2R w KQkq -,50.0
r1bqkb1r/pppp1ppp/2nn4/1B2p1B1/3P4/5N2/PPP2PPP/RN1Q1RK1 b kq -,-41.0
r1bqk1nr/ppp1bppp/2np4/1B1Pp3/4P3/5N2/PPP2PPP/RNBQK2R b KQkq -,98.0
2rr2k1/1b3pp1/p4b1p/1p1PpP2/8/P1N5/1PP1BRPP/3R3K b - -,-126.0
r1b1kbnr/pp3ppp/1qn1p3/2ppP3/3P4/N1P2N2/PP3PPP/R1BQKB1R b KQkq -,-21.0
r1bqk1nr/1pp1bppp/p1np4/1B1Pp3/4P3/5N2/PPP2PPP/RNBQK2R w KQkq -,65.0
r1bqk2r/pppp1ppp/2n2n2/1Bb1P3/3p4/2P2N2/PP3PPP/RNBQK2R b KQkq -,28.0
r1bq1rk1/pp2ppbp/3p1np1/8/3nP3/2N1BP2/PPPQ2PP/2KR1B1R w - -,160.0
rnbqkb1r/pppp1p1p/4pnp1/8/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq -,67.0
3Qr1k1/pp3p1p/6p1/8/3nP3/4BP2/PP2B1PP/2r3K1 w - -,-203.0
r1bqk1nr/2p1bppp/p1np4/1p1Pp3/B3P3/5N2/PPP2PPP/RNBQK2R w KQkq -,3.0
r1bqkb1r/pppn1ppp/4pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq -,33.0
r1bqkb1r/pppp1ppp/2n2n2/4p3/3PP3/2P2N2/PP3PPP/RNBQKB1R b KQkq -,-35.0
r1bqk2r/ppp2ppp/2p5/2b1P3/4n3/3PB3/PPP2PPP/RN1QKB1R b KQkq -,-317.0
rnbqkb1r/ppp1pppp/1n6/4P3/2PP4/8/PP4PP/RNBQKBNR b KQkq -,69.0
8/8/4k3/3r4/4KQ2/8/8/8 b - -,6145.0
rnbqk2r/ppp2ppp/4pb2/6B1/3P4/5N2/PPP2PPP/R2QKB1R b KQkq -,-746.0
r1bqkbnr/pp1ppp1p/2n3p1/1Bp5/4P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq -,20.0
rnbqkb1r/1p3ppp/p2ppn2/8/2PNP3/2N5/PP3PPP/R1BQKB1R w KQkq -,77.0
4k3/3r4/3K1Q2/8/8/8/8/8 w - -,29.0
rn1qkbnr/pp2pppp/3p4/2p5/4P1b1/2N2N2/PPPP1PPP/R1BQKB1R w KQkq -,59.0
rnbq1rk1/pp2ppbp/3p1np1/2P3B1/2P1P3/2N2P2/PP4PP/R2QKBNR b KQ -,-37.0
r1bqkb1r/pppp1ppp/2n2n2/4p3/2PP4/4P3/PP3PPP/RNBQKBNR w KQkq -,60.0
rnbq1rk1/pppp1pbp/4pnp1/8/2PPP3/2N2N2/PP2BPPP/R1BQK2R b KQ -,75.0
r1b1k2r/ppppqppp/5n2/2b1N3/2BnP3/2N5/PPPP1PPP/R1BQK2R w KQkq -,5.0
rnbq1rk1/pp2ppbp/3p1np1/2pP2B1/2P1P3/2N2P2/PP4PP/R2QKBNR b KQ -,20.0
r1bqkb1r/pppp1ppp/2n2n2/4p3/2PP4/2N1P3/PP3PPP/R1BQKBNR b KQkq -,-11.0
8/2K5/4k3/2P5/8/8/8/8 w - -,12.0
r1bqk2r/ppp2ppp/2p5/4P3/4n3/3PP3/PPP3PP/RN1QKB1R b KQkq -,-332.0
r1bqkb1r/ppp1pppp/1nn5/4P3/2PP4/5N2/PP4PP/RNBQKB1R b KQkq -,0.0
rnbqr1k1/pp2ppbp/3p1np1/2p5/2PPP3/2N2N2/PP2BPPP/R1BQ1RK1 w - -,96.0
r1bq1rk1/ppp1p1bp/2np1np1/3P1p2/2P5/2N2NP1/PP2PPBP/R1BQ1RK1 b - -,87.0
r1bqkb1r/pppp1ppp/2n5/3Pp3/4n3/2P2N2/PP3PPP/RNBQKB1R b KQkq -,-8.0
8/2K5/2P1k3/8/8/8/8/8 b - -,11.0
8/2K5/2P5/3k4/8/8/8/8 w - -,11.0
r2qkb1r/ppp1pppp/1nn5/4P3/2PP2b1/5N2/PP4PP/RNBQKB1R w KQkq -,0.0
r2qkbnr/pp1n1ppp/3pp3/2p5/4P3/1P3N2/P1PP1PPP/RNBQ1RK1 b kq -,25.0
rnb1kbnr/1p1p1ppp/pq2p3/8/4P3/1N1B4/PPP2PPP/RNBQK2R b KQkq -,88.0
r1bqkb1r/ppp2p1p/2n1pnp1/3p4/2PP1B2/3BPN2/PP3PPP/RN1QK2R b KQkq -,83.0
r1bq1rk1/pp2ppbp/2np1np1/8/3NP3/2N1BP2/PPPQ2PP/2KR1B1R b - -,48.0
5rk1/6n1/8/7p/4q1pP/6P1/6RQ/6NK b - -,-3.0
r1bqk2r/pppp1ppp/2n5/1BbnP3/3p4/2P2N2/PP3PPP/RNBQK2R w KQkq -,47.0
rnbqkb1r/ppppp1pp/5n2/5pB1/3P4/2N5/PPP1PPPP/R2QKBNR b KQkq -,50.0
r1bqkb1r/ppp2pp1/5n1p/3Pp3/2P5/5N2/PPP2PPP/RNBQK2R b KQkq -,0.0
r1bqk2r/p2pppbp/2p2np1/2p5/4P3/2N2N2/PPPP1PPP/R1BQ1RK1 w kq -,0.0
8/1KP5/8/8/8/2k5/8/8 w - -,9.0
r1bq1rk1/pppnn1bp/3p2p1/3Ppp2/2P1P3/2NN4/PP1BBPPP/R2Q1RK1 b - -,36.0
r2qk1nr/pp1nbppp/3pp3/2p5/4P3/1P3N2/P1PP1PPP/RNBQ1RK1 w kq -,21.0
2Q5/1K6/8/8/8/2k5/8/8 b - -,8.0
r1bqk2r/ppp2pbp/2n1pnp1/3p4/2PP1B2/3BPN2/PP3PPP/RN1QK2R w KQkq -,109.0
4k3/2r5/2K2Q2/8/8/8/8/8 w - -,26.0
r1b1k2r/ppp2ppp/2p5/4P3/4n2q/3PP1P1/PPP4P/RN1QKB1R b KQkq -,-330.0
2Q5/1K6/8/8/8/8/3k4/8 w - -,8.0
r1b1k2r/ppp1qppp/5n2/2bp4/2BnP3/2NN4/PPPP1PPP/R1BQK2R w KQkq -,-23.0
r1bqkb1r/pppp1ppp/2n2n2/8/2Pp4/2N1P3/PP3PPP/R1BQKBNR w KQkq -,0.0
2k5/8/1KP5/8/8/8/8/8 w - -,10.0
rnb1kbnr/ppppqppp/8/4p2Q/4P3/8/PPPP1PPP/RNB1KBNR w KQkq -,0.0
r1bq1rk1/ppp1p1bp/3p1np1/3Pnp2/2P5/2N2NP1/PP2PPBP/R1BQ1RK1 w - -,71.0
r1b1k2r/ppp2ppp/2p5/4P3/7q/3PP1P1/PPP5/RN1QKB1R b KQkq -,-306.0
rnbqk2r/ppp2ppp/4pb2/8/3P4/4B3/PPP2PPP/R2QKBNR b KQkq -,0.0
r1bqkb1r/pppp1ppp/2n2n2/8/2PP4/2N5/PP3PPP/R1BQKBNR b KQkq -,0.0
2r3k1/2r1ppb1/3p4/pq4Pp/1p1BP3/1B3P2/PPPQ4/1K1R4 w - -,457.0
r1bqkb1r/ppp2ppp/2pn4/4p3/3P4/5N2/PPP2PPP/RNBQ1RK1 w kq -,28.0
r1b1k2r/ppp2ppp/2p5/4P3/8/3PP1P1/PPPN4/R2QKB1q b Qkq -,-559.0
r2qkb1r/1p1bpppp/p1np1n2/1Bp5/4PP2/2N2N2/PPPP2PP/R1BQ1RK1 w kq -,0.0
r1b1kb1r/1p1p1ppp/pqn1pn2/8/4P3/1N1B4/PPP2PPP/RNBQ1RK1 w kq -,83.0
rnb1kbnr/ppppqppp/8/4p2Q/2B1P3/8/PPPP1PPP/RNB1K1NR b KQkq -,-6.0
8/3k2Q1/8/2r5/4K3/8/8/8 b - -,15265.0
r1bqkbnr/pp2pppp/2n5/3p4/3P1B2/2N5/PP2PPPP/R2QKBNR b KQkq -,14.0
r1bqkb1r/ppp2ppp/2n2n2/3p4/2PP4/2N2N2/PP3PPP/R1BQKB1R b KQkq -,-3.0
8/8/8/4k3/2Q5/3BK3/8/8 w - -,5.0
rnbqkb1r/pppp1ppp/4pn2/8/2PP4/4P3/PP3PPP/RNBQKBNR b KQkq -,0.0
rnbqkbnr/ppp2ppp/3p4/4p3/4P3/5N1P/PPPP1PP1/RNBQKB1R b KQkq -,22.0
rnb1kb1r/ppppqppp/5n2/4p2Q/2B1P3/8/PPPP1PPP/RNB1K1NR w KQkq -,7.0
r1bqkbnr/ppp2ppp/2np4/4p3/4P3/5N1P/PPPP1PP1/RNBQKB1R w KQkq -,61.0
8/6Q1/4k3/2r5/4K3/8/8/8 w - -,28.0
rnb2rk1/3ppp1p/P5p1/q1pP4/8/2PB1N2/P4PPP/R1BQK2R b KQ -,-80.0
r1bqkbnr/pp3ppp/2n1p3/2pp4/4PP2/2N2N2/PPPP2PP/R1BQKB1R w KQkq -,0.0
r1bqkb1r/ppp2ppp/2n2n2/8/2pP4/2N2N2/PP3PPP/R1BQKB1R w KQkq -,19.0
8/8/5r2/1pkp1P2/8/3K4/1P6/5R2 w - -,554.0
r1bqk2r/pppp1ppp/2P5/4p3/4n3/2P2N2/PP2KbPP/RNBQ1B1R b kq -,0.0
r1bq1rk1/ppp1n1bp/3p1np1/3Ppp2/2P1P3/2NN4/PP1BBPPP/R2Q1RK1 w - -,56.0
r1bq1rk1/pp2ppbp/2n2np1/3p4/3NP3/2N1BP2/PPP3PP/2KRQB1R b - -,34.0
r1bqkb1r/ppp2ppp/2n2n2/8/2BP4/2N2N2/PP3PPP/R1BQK2R b KQkq -,12.0
rnb2rk1/3ppp1p/P5p1/2pP4/8/3B1N2/PP1q1PPP/R3K2R w KQ -,-61.0
rnbqkbnr/8/8/pppppppp/PPPPPPPP/8/8/RNBQKBNR w KQkq -,307.0
8/8/3k4/8/2Q1B3/4K3/8/8 w - -,5.0
r1bqkb1r/ppp2ppp/3p1n2/8/3QP3/3B3P/PPP2PP1/RNB1K2R b KQkq -,26.0
r2qkb1r/ppp2ppp/2n2n2/8/2BP2b1/2N2N2/PP3PPP/R1BQK2R w KQkq -,79.0
rnbqkbnr/pp2pppp/2p5/3p4/4P3/3P4/PPPN1PPP/R1BQKBNR b KQkq -,0.0
8/6Q1/4k3/r7/3K4/8/8/8 w - -,0.0
r1b1kbnr/ppppqppp/2n5/4p2Q/2B1P3/8/PPPP1PPP/RNB1K1NR w KQkq -,0.0
8/8/3k4/1p1p4/1P1K4/2P5/8/8 b - -,19.0
R7/5bN1/8/p2kP3/8/5K2/8/8 w - -,14.0
rnbqkbnr/8/8/pppppppp/PPPPPPPP/R7/8/1NBQKBNR b Kkq -,-365.0
rnb1k2r/ppp2ppp/4pq2/8/3P4/8/PPP2PPP/R2QKBNR w KQkq -,17.0
r1bq1rk1/pppp1ppp/2n5/2b1P3/2Bp1Bn1/5N2/PPP2PPP/RN1Q1RK1 w - -,62.0
r1bq1rk1/pp3pbp/2n2np1/3pp3/3NP3/2N1BP2/PPP3PP/2KRQB1R w - -,40.0
1nbqkbn1/8/r6r/pppppppp/PPPPPPPP/R6R/8/1NBQKBN1 w - -,201.0
rnbqk2r/pppp1ppp/5n2/2b1p3/4P3/2N3P1/PPPP1P1P/R1BQKBNR w KQkq -,-3.0
3R4/pp3pkp/2p1rpq1/2Q2b2/8/6N1/PPP3PP/6K1 b - -,752.0
rnbqkbnr/pp2pppp/2p5/8/4P3/8/PPPN1PPP/R1BQKBNR b KQkq -,36.0
8/4r3/1K1k4/5Q2/8/8/8/8 w - -,15265.0
r1bqkbnr/pp1p1ppp/2n5/2p1p3/4PP2/2N5/PPPP2PP/R1BQKBNR w KQkq -,95.0
rnbqkb1r/pp2pppp/5n2/2pp4/5P2/4PN2/PPPP2PP/RNBQKB1R w KQkq -,-28.0
rnbqkbnr/pp2pp1p/2p3p1/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR w KQkq -,114.0
7K/8/2k5/1p5R/8/8/8/8 b - -,20.0
r1bqkb1r/pppp1pp1/2n2n1p/4p1N1/2B1P3/8/PPPP1PPP/RNBQK2R w KQkq -,859.0
3Q1qk1/4rp1p/ppb1p1p1/2r5/8/PB2RN2/1P3PPP/3R2K1 b - -,424.0
rnbq1rk1/pp1p1ppp/5n2/2pp4/1bP5/2NBP3/PP3PPP/R1BQK1NR w KQ -,0.0
rnbq1rk1/pp3pbp/3ppnp1/2pP2B1/2P1P3/2N2P2/PP4PP/R2QKBNR w KQ -,23.0
rnbqkbnr/pp2pp1p/2p3p1/3p4/3PP3/2N2N2/PPP2PPP/R1BQKB1R b KQkq -,52.0
rnbqkb1r/pp2pppp/2p2n2/8/4P3/8/PPPN1PPP/R1BQKBNR w KQkq -,71.0
2r3k1/2r1pp2/3p2p1/pq4PR/1p1QP3/1B3P2/PPP5/1K1R4 b - -,15.0
rnbq1rk1/pp1p1ppp/5n2/2pP4/1b6/2NBP3/PP3PPP/R1BQK1NR b KQ -,0.0
r1bqkbnr/pp3ppp/2n5/1Bpp4/8/1P6/PBPP1PPP/RN1QK1NR w KQkq -,36.0
rnbqkb1r/ppp1pppp/3p1n2/8/3P1B2/8/PPP1PPPP/RN1QKBNR w KQkq -,27.0
r1bq1rk1/ppp1n1bp/3p1np1/3Ppp2/2P1P3/2NN1P2/PP1BB1PP/R2Q1RK1 b - -,64.0
r1bqk2r/2pp1ppp/p1n2n2/1pb1p3/4P3/1B3N2/PPPP1PPP/RNBQ1RK1 w kq -,32.0
rnbqkb1r/pp2pppp/2p2n2/8/4P3/5N2/PPPN1PPP/R1BQKB1R b KQkq -,47.0
3R4/pp3p1p/2p1rpqk/2Q2b2/8/6N1/PPP3PP/6K1 w - -,1387.0
r1bqkb1r/pppp1Np1/2n2n1p/4p3/2B1P3/8/PPPP1PPP/RNBQK2R b KQkq -,766.0
2r3k1/2r1pp2/3p4/pq4Pp/1p1QP3/1B3P2/PPP5/1K1R4 w - -,0.0
8/4r3/1K2k3/2Q5/8/8/8/8 w - -,27.0
rnbqk1nr/pp2ppbp/2p3p1/3p4/3PP3/2N2N1P/PPP2PP1/R1BQKB1R b KQkq -,70.0
r1bqk2r/ppp2ppp/2np1n2/2b1p3/4P3/2N3P1/PPPPNPBP/R1BQ1RK1 b kq -,12.0
2k5/2P5/1K6/8/8/8/8/8 b - -,9.0
3R4/pp3p1p/2p1rpqk/2Q2N2/8/8/PPP3PP/6K1 b - -,16.0
r1bq1rk1/pppp1pp1/2n2n1p/2b1p3/2B1P3/2PP1N2/PP3PPP/RNBQ1RK1 w - -,29.0
8/2Pk4/1K6/8/8/8/8/8 w - -,9.0
rnbqkb1r/ppp2pp1/3p1n1p/4p3/2B1P3/2N2N2/PPPP1PPP/R1BQ1RK1 b kq -,44.0
rnbqkbnr/pp3ppp/8/2pp4/3P4/8/PPPN1PPP/R1BQKBNR w KQkq -,17.0
r1bqkb1r/ppp2p1p/2np1np1/4p3/2B1P3/3P1Q2/PPP2PPP/RNB1K1NR w KQkq -,-39.0
8/1KPk4/8/8/8/8/8/8 b - -,8.0
rn1qkb1r/pp2pppp/2p2n2/8/4P1b1/5N2/PPPN1PPP/R1BQKB1R w KQkq -,95.0
rnbqk2r/pp2ppbp/3p1np1/2p5/2B1P3/2PP1N2/PP3PPP/RNBQK2R w KQkq -,0.0
r1bqkb1r/ppp2p1p/2np1np1/4p1B1/2B1P3/3P1Q2/PPP2PPP/RN2K1NR b KQkq -,-42.0
r1b1kbnr/pp2qppp/2n5/1Bpp4/8/1P6/PBPPQPPP/RN2K1NR w KQkq -,29.0
r1bqkb1r/ppp2ppp/2np1n2/1B2p3/4P3/3P1N2/PPP2PPP/RNBQK2R w KQkq -,33.0
r1bqk2r/ppp2pbp/2np1np1/4p1B1/2B1P3/3P1Q2/PPP2PPP/RN2K1NR w KQkq -,-72.0
rnbqk1nr/pp2ppbp/2p3p1/3p4/3PP3/2N2N2/PPP2PPP/R1BQKB1R w KQkq -,63.0
rn1qkb1r/pp2pppp/3p1n2/2p5/4P1b1/2PB1N2/PP1P1PPP/RNBQK2R w KQkq -,0.0
2Q5/4r3/1K2k3/8/8/8/8/8 b - -,9605.0
r1bq1rk1/ppp1n1bp/3p1np1/3Pp3/2P1Pp2/2NN1P2/PP1BB1PP/R2Q1RK1 w - -,88.0
r1bqk2r/ppp2pbp/2np1Bp1/4p3/2B1P3/3P1Q2/PPP2PPP/RN2K1NR b KQkq -,-79.0
r1bq1rk1/pppp1pp1/2n2n1p/2b1p3/2BPP3/2P2N2/PP3PPP/RNBQ1RK1 b - -,27.0
2Q5/4r3/1K6/4k3/8/8/8/8 w - -,28.0
7Q/3kr3/8/3K4/8/8/8/8 b - -,21.0
r1bqk2r/ppp2p1p/2np1bp1/4p3/2B1P3/3P1Q2/PPP2PPP/RN2K1NR w KQkq -,-75.0
rn1qkb1r/pp2pppp/3p1n2/2p5/4P1b1/2PB1N1P/PP1P1PP1/RNBQK2R b KQkq -,0.0
rnbqk1nr/pp3ppp/8/2bp4/8/8/PPPN1PPP/R1BQKBNR w KQkq -,-3.0
1k1b4/2n5/1K6/4B3/6B1/8/8/8 w - -,4.0
7Q/3k1r2/8/3K4/8/8/8/8 w - -,19.0
r1bq1rk1/pppp1pp1/1bn2n1p/4p3/2BPP3/2P2N2/PP3PPP/RNBQ1RK1 w - -,29.0
r1bqkb1r/pp1n1ppp/4pn2/2pp4/3P1B2/2P1PN2/PP3PPP/RN1QKB1R w KQkq -,29.0
2q3k1/8/8/5N2/6P1/7K/8/8 w - -,17.0
r1bqk2r/2pp1ppp/p1n2n2/1pb1N3/4P3/1B6/PPPP1PPP/RNBQ1RK1 b kq -,0.0
rnbqkbnr/pp1ppppp/8/2p5/4P3/3B4/PPPP1PPP/RNBQK1NR b KQkq -,-6.0
r1bqk2r/1pp2ppp/p1np1n2/2b1p3/4P3/2N3P1/PPPPNPBP/R1BQ1RK1 w kq -,39.0
r1bqkbnr/pp3ppp/2n5/3pp3/3P1B2/2N5/PP2PPPP/R2QKBNR w KQkq -,52.0
